Program,WorkerType,NumWorkers,CPU%,Mem(KB),Time(s),context_switches_per_sec,page_faults_total
program_a,cpu,2,0.00,0.00,80.93,36608.46,400246847900
program_a,cpu,3,33.14,7520.50,93.34,33894.41,420584822268
program_a,cpu,4,41.55,7808.90,99.14,36865.68,462524986328
program_a,mem,2,27.39,7959.70,69.92,34727.44,341226485356
program_a,mem,3,41.23,8289.10,113.21,37793.80,537127768652
program_a,mem,4,50.34,8577.80,147.89,40017.37,526701864172
program_a,io,2,10.12,7680.20,126.22,34543.96,464058557036
program_a,io,3,7.93,7443.30,232.48,30746.51,813637673836
program_a,io,4,10.43,7415.90,360.03,37268.11,1393563301344
program_b,cpu,2,26.17,7208.90,80.11,36551.53,246725545356
program_b,cpu,4,40.14,7206.90,93.65,35037.90,286605192424
program_b,cpu,6,57.08,7201.50,103.10,34117.50,323611778320
program_b,cpu,8,75.26,7260.90,106.36,39475.48,360911686308
program_b,mem,2,26.70,7513.50,65.56,34301.58,217947120808
program_b,mem,4,45.87,8280.70,130.62,35948.04,396846701808
program_b,mem,6,66.62,9302.30,208.15,38005.53,689264707416
program_b,mem,8,82.45,9243.40,269.37,44957.64,838308712344
program_b,io,2,7.50,7447.30,123.96,36160.99,383085725492
program_b,io,4,7.25,7559.40,249.85,32668.73,750753928936
program_b,io,6,7.08,7637.90,410.79,31169.23,1221799798964
program_b,io,8,7.59,7738.50,569.05,30347.53,1809243490636
